method,pooled,sign_recovery,sign_recovery_se,flip,flip_se,abstain_true,abstain_true_se,false_sign,false_sign_se
LASSO,False,0.6834333333333333,0.0019173056905749566,0.03001666666666667,0.0007822678924483323,0.28655,0.0018549299926891522,0.45857777777777775,0.0012285733973160056
GROUP-fixed,True,0.9926666666666667,0.0011822765233978798,0.00016666666666666666,0.00016624947786050004,0.007166666666666667,0.0011756204035883917,0.5785555555555555,0.004242284208848103
HCGL,True,0.6968833333333333,0.002234959296174218,0.032350000000000004,0.0008389138149350557,0.27076666666666666,0.0021736694525361687,0.4787444444444445,0.0014972260358640359
