method,gate,recovery,flip,false_sign
known-cluster,default,0.9926666666666667,0.00016666666666666666,0.5785555555555555
known-cluster,deff_corrected,0.9875,0.0,0.45661111111111113
HCGL,default,0.6968833333333333,0.032350000000000004,0.4787444444444445
HCGL,deff_corrected,0.6897833333333334,0.031133333333333332,0.46234444444444445
