r2,n_obs,pooled,per_response,gap
0.1,60,0.6456166666666667,0.6236666666666667,0.021950000000000025
0.1,120,0.7655,0.7640666666666667,0.0014333333333332865
0.1,240,0.8866166666666666,0.8866166666666666,0.0
0.3,60,0.9191833333333334,0.8502000000000001,0.06898333333333329
0.3,120,0.9686166666666667,0.94485,0.023766666666666714
0.3,240,0.9886666666666667,0.9857833333333333,0.002883333333333349
0.5,60,0.9915,0.9253,0.06620000000000004
0.5,120,0.9993000000000001,0.9802500000000001,0.01905000000000001
0.5,240,0.9998666666666667,0.99655,0.0033166666666666345
