rho_bar,recovery,abstain,false_sign,rate_factor,reps
0.0,0.99,0.01,0.5770000000000001,3.1622776601683795,100
0.3,0.9393333333333337,0.05033333333333332,0.717777777777778,1.643989873053573,100
0.6,0.8980000000000002,0.06733333333333333,0.7771111111111111,1.25,100
0.9,0.8630000000000001,0.08199999999999999,0.809111111111111,1.0482848367219184,100
