threshold,sensitivity,sensitivity_se,false_sign,false_sign_se
0.5,0.9946666666666667,0.000955684745788763,0.7071666666666667,0.003713420356051916
0.75,0.9926666666666667,0.0011822765233978798,0.5785555555555555,0.004242284208848103
1.0,0.9878333333333335,0.0014563558020697488,0.46361111111111114,0.00437863605517788
1.5,0.9688333333333334,0.0022245786117824646,0.27366666666666667,0.0037591944894985875
2.0,0.9303333333333333,0.003284559838598367,0.14627777777777776,0.0027304608890563998
2.5,0.8633333333333334,0.004129837231121289,0.06961111111111111,0.001991459387943214
3.0,0.7636666666666666,0.005276730890322995,0.029166666666666664,0.001327388366885596
3.5,0.6286666666666666,0.005720528336128092,0.010666666666666668,0.0007811039987031968
