Date,rf_log
2017-02-28,0.00041562845925325616
2017-03-31,0.00043469758899420844
2017-04-30,0.0006127417336481258
2017-05-31,0.000647478081706058
2017-06-30,0.0007879298877223063
2017-07-31,0.0008234184360523329
2017-08-31,0.0008729121191447006
2017-09-30,0.0008110404331660095
2017-10-31,0.0008522933439263974
2017-11-30,0.0009306176622107757
2017-12-31,0.0010253329003923797
2018-01-31,0.0011215849893617665
2018-02-28,0.0011832265735572478
2018-03-31,0.0013375415932507899
2018-04-30,0.001380173989739499
2018-05-31,0.001456366201141197
2018-06-30,0.001543942055057668
2018-07-31,0.0015521220063634239
2018-08-31,0.0016379631498923443
2018-09-30,0.0016951415260036847
2018-10-31,0.001772678017428464
2018-11-30,0.001877034268020085
2018-12-31,0.0019014738448360846
2019-01-31,0.0018949572086144125
2019-02-28,0.0019275347125143876
2019-03-31,0.001962541350350116
2019-04-30,0.0019177629150020608
2019-05-31,0.0019503315064277095
2019-06-30,0.0018892548552532091
2019-07-31,0.0016788088778455343
2019-08-31,0.0016747251182260366
2019-09-30,0.0015954623677904808
2019-10-31,0.001462098252360937
2019-11-30,0.0012390756766508318
2019-12-31,0.0012735519296227262
2020-01-31,0.0012448226931025368
2020-02-29,0.0012489274761916284
2020-03-31,0.0010187474842488586
2020-04-30,2.4996250191205334e-05
2020-05-31,7.496627321389354e-05
2020-06-30,0.00010659846325827348
2020-07-31,0.00011242413523894814
2020-08-31,6.913797574273635e-05
2020-09-30,7.912908530654832e-05
2020-10-31,7.0803246959252e-05
2020-11-30,6.913797574273635e-05
2020-12-31,6.247657669382777e-05
2021-01-31,5.414906813922438e-05
2021-02-28,3.999040341842145e-05
2021-03-31,2.916156381479258e-05
2021-04-30,1.083262945117686e-05
2021-05-31,2.4999625224801914e-06
2021-06-30,6.6664003308457145e-06
2021-07-31,3.332666769915112e-05
2021-08-31,3.332666769915112e-05
2021-09-30,3.332666769915112e-05
2021-10-31,2.33300679963376e-05
2021-11-30,3.999040341842145e-05
2021-12-31,3.999040341842145e-05
2022-01-31,2.7495463349040543e-05
2022-02-28,0.0001440421002881154
2022-03-31,0.00023965505182021944
2022-04-30,0.0004098239459223196
2022-05-31,0.0006706276548649695
2022-06-30,0.0008539430140303365
2022-07-31,0.001322779115912842
2022-08-31,0.0018933281155953518
2022-09-30,0.0023498877782337836
2022-10-31,0.0026087375396174985
2022-11-30,0.0032483582269724146
2022-12-31,0.0034708707641261404
2023-01-31,0.00347646629559726
2023-02-28,0.0037238766053332493
2023-03-31,0.0038353698896325026
2023-04-30,0.0037358293568781685
2023-05-31,0.004004713372538958
2023-06-30,0.004262440449654928
2023-07-31,0.004187187105267792
2023-08-31,0.004262440449654928
2023-09-30,0.0043020198565594464
2023-10-31,0.004303602913598806
2023-11-30,0.004319429189160018
2023-12-31,0.00425452208541973
2024-01-31,0.004208581711752862
2024-02-29,0.004214920107518875
2024-03-31,0.004242643505767252
2024-04-30,0.004226802639322122
2024-05-31,0.0042600648683615025
2024-06-30,0.0042600648683615025
2024-07-31,0.004234723260106237
2024-08-31,0.004172921234111198
2024-09-30,0.004040446266459775
2024-10-31,0.003666478988736194
2024-11-30,0.003613829786579026
2024-12-31,0.0035667363926287277
2025-01-31,0.0034348931310891357
2025-02-28,0.003418897957676546
2025-03-31,0.0034228967528351834
2025-04-30,0.0034228967528351834
2025-05-31,0.003420497498766197
2025-06-30,0.003454083058733373
2025-07-31,0.003420497498766197
2025-08-31,0.0034564817272672503
2025-09-30,0.0033028409472185163
2025-10-31,0.0031441014237930027
2025-11-30,0.0030421242655881346
2025-12-31,0.003025249956816764
2026-01-31,0.00290461910494565
2026-02-28,0.0029247364412707494
2026-03-31,0.002929563894775122
2026-04-30,0.0029472619097296883
2026-05-31,0.002935195506502343
2026-06-30,0.0029376089652860937
